INSERT student(studentID,name,phone,email,dorm,score_1,score_2,score_3) VALUES
('10900101', 'ÓÈÄÔºõ', '13383268463', 'younaohu@stu.kust.edu.cn', 'âùÔ°3165', 43, 57, 66),
('10900102', 'ÂŞ³Á×Ü', '18898449808', 'luochenzong@stu.kust.edu.cn', 'ã½Ô°4512', 67, 47, 60),
('10900103', 'ŞÉ¹ÅÌ¸', '13843447799', 'xigutan@stu.kust.edu.cn', 'Á«»ª6794', 68, 52, 78),
('10900104', '°²È·¼Ç', '17637613779', 'anqueji@stu.kust.edu.cn', 'ÌñÔ°8353', 86, 90, 51),
('10900105', 'Ô¬¹¤Ãâ', '15329042615', 'yuangongmian@stu.kust.edu.cn', 'ÌñÔ°7766', 93, 77, 81),
('10900106', '·ëÒµÌ¨', '18593129043', 'fengyetai@stu.kust.edu.cn', 'ã½Ô°2293', 45, 88, 78),
('10900107', '±«¸çÍ·', '18399278709', 'baogetou@stu.kust.edu.cn', 'âùÔ°3784', 71, 97, 42),
('10900108', 'Ó÷ÉèÍ¨', '15118191007', 'yushetong@stu.kust.edu.cn', 'ÌñÔ°5688', 47, 76, 83),
('10900109', '±åÓÚ¿Ú', '13741556605', 'bianyukou@stu.kust.edu.cn', 'ÌñÔ°4654', 96, 53, 63),
('10900110', '²·Ä¿Òò', '15358902427', 'bomuyin@stu.kust.edu.cn', 'ºãÔ°9626', 80, 94, 78),
('10900111', 'Æ½¹·¼°', '13921689378', 'pinggouji@stu.kust.edu.cn', 'ÌñÔ°1913', 94, 54, 80),
('10900112', 'ÕÂÄÜ×é', '15256506855', 'zhangnengzu@stu.kust.edu.cn', 'ã½Ô°5296', 99, 45, 81),
('10900113', 'ÂŞÀ´Ó°', '13340745320', 'luolaiying@stu.kust.edu.cn', 'ÌñÔ°4916', 71, 98, 94),
('10900114', '±åÈıË¾', '17776454432', 'biansansi@stu.kust.edu.cn', 'ã½Ô°1741', 60, 42, 75),
('10900115', '¿×Ï¯¾ç', '13198035361', 'kongxiju@stu.kust.edu.cn', 'âùÔ°3878', 99, 78, 74),
('10900116', '×ŞÕÂµØ', '18816545164', 'zouzhangdi@stu.kust.edu.cn', 'ã½Ô°6321', 44, 66, 70),
('10900117', '·ÑÊ¢×°', '18604344817', 'feishengzhuang@stu.kust.edu.cn', 'Á«»ª5644', 42, 84, 82),
('10900118', 'Àî´ÎÈÕ', '15161412608', 'liciri@stu.kust.edu.cn', 'ã½Ô°3215', 85, 60, 68),
('10900119', 'Ñî¾çÁÁ', '18351554772', 'yangjuliang@stu.kust.edu.cn', 'ã½Ô°8793', 51, 95, 83),
('10900120', 'ÅíÍ»ÄÑ', '18017879579', 'pengtunan@stu.kust.edu.cn', 'ã½Ô°6994', 95, 68, 79),
('10900121', 'ÈÎÈÎ¼Ç', '18299834649', 'renrenji@stu.kust.edu.cn', 'Á«»ª3758', 69, 57, 67),
('10900122', 'ÓÚ»ù´÷', '15725607572', 'yujidai@stu.kust.edu.cn', 'âùÔ°4194', 87, 67, 84),
('10900123', 'ÀÉÕ¾»¯', '15157805160', 'langzhanhua@stu.kust.edu.cn', 'âùÔ°4442', 79, 60, 71),
('10900124', 'ÇØ¼ÍÕÕ', '15385716523', 'qinjizhao@stu.kust.edu.cn', 'âùÔ°6352', 42, 87, 57),
('10900125', 'ÕÔÔç³Ğ', '15216993176', 'zhaozaocheng@stu.kust.edu.cn', 'ã½Ô°2156', 49, 70, 58),
('10900126', 'ÅíÏµÖ±', '13183595016', 'pengxizhi@stu.kust.edu.cn', 'ÌñÔ°4932', 64, 98, 64),
('10900127', 'Òü´÷Õ¾', '18510966466', 'yindaizhan@stu.kust.edu.cn', 'ºãÔ°6525', 92, 81, 41),
('10900128', 'ÒüÉõĞÄ', '13470322797', 'yinshenxin@stu.kust.edu.cn', 'ã½Ô°6667', 55, 63, 43),
('10900129', 'ÓÈÏÊÑé', '17887249546', 'youxianyan@stu.kust.edu.cn', 'ã½Ô°3827', 88, 45, 70),
('10900130', 'Òü°ã³Æ', '18725011290', 'yinbancheng@stu.kust.edu.cn', 'ºãÔ°2522', 76, 60, 60),
('10900131', '¸µÕ½Îİ', '17721855596', 'fuzhanwu@stu.kust.edu.cn', 'âùÔ°4425', 43, 54, 86),
('10900132', 'ÅË¹ÇÊô', '15375920739', 'pangushu@stu.kust.edu.cn', 'ÌñÔ°6257', 63, 86, 69),
('10900133', 'ÌÆÉ¢ÔÚ', '18081460970', 'tangsanzai@stu.kust.edu.cn', 'ã½Ô°8994', 90, 55, 56),
('10900134', 'À×°ÉÈ·', '13988442953', 'leibaque@stu.kust.edu.cn', 'âùÔ°8558', 66, 58, 77),
('10900135', 'ÅíÈÏ¿É', '18681170998', 'pengrenke@stu.kust.edu.cn', 'ºãÔ°7673', 88, 78, 74),
('10900136', 'Ë®½­×æ', '17806489670', 'shuijiangzu@stu.kust.edu.cn', 'ã½Ô°1599', 45, 41, 96),
('10900137', 'Ê·¿´¿Ö', '18589513707', 'shikankong@stu.kust.edu.cn', 'âùÔ°5711', 94, 75, 87),
('10900138', 'ÌÀÎ»Âğ', '18424340560', 'tangweima@stu.kust.edu.cn', 'Á«»ª3595', 72, 60, 55),
('10900139', '·ïÒµ¾Æ', '18535301617', 'fengyejiu@stu.kust.edu.cn', 'âùÔ°8327', 86, 45, 72),
('10900140', 'ŞÉÄ·¹Û', '18363650258', 'ximuguan@stu.kust.edu.cn', 'ÌñÔ°5559', 76, 59, 61),
('10900141', 'ÔªÇ¹¼Æ', '13599395015', 'yuanqiangji@stu.kust.edu.cn', 'ÌñÔ°6554', 46, 52, 52),
('10900142', 'ÂíÃûÊ¤', '15065343138', 'mamingsheng@stu.kust.edu.cn', 'ºãÔ°9981', 54, 42, 92),
('10900143', 'Éò¿´Ê±', '18718810716', 'shenkanshi@stu.kust.edu.cn', 'ÌñÔ°5536', 49, 59, 69),
('10900144', '»Æ¸ÏÎü', '13464343598', 'huangganxi@stu.kust.edu.cn', 'âùÔ°8965', 93, 88, 82),
('10900145', 'ÑîÖ§Îª', '18185621938', 'yangzhiwei@stu.kust.edu.cn', 'Á«»ª2693', 55, 56, 67),
('10900146', 'Á®ĞÑ¾ä', '18147189185', 'lianxingju@stu.kust.edu.cn', 'ÌñÔ°4443', 75, 83, 84),
('10900147', 'ºØ¼ª½â', '17790898414', 'hejijie@stu.kust.edu.cn', 'âùÔ°6654', 45, 51, 99),
('10900148', 'Óà½¨ÃÎ', '15620456678', 'yujianmeng@stu.kust.edu.cn', 'âùÔ°7927', 45, 51, 54),
('10900149', '×ŞĞèÌ«', '18551284118', 'zouxutai@stu.kust.edu.cn', 'Á«»ª3244', 84, 73, 78),
('10900150', 'ÌÕ»ªÔ°', '13334372802', 'taohuayuan@stu.kust.edu.cn', 'ºãÔ°1178', 57, 55, 54),
('10900201', 'ÌÕÉ½Òô', '18055093159', 'taoshanyin@stu.kust.edu.cn', 'ã½Ô°1374', 89, 47, 77),
('10900202', 'Ê©´Ê¿Õ', '17677532042', 'shicikong@stu.kust.edu.cn', 'ÌñÔ°2326', 74, 53, 60),
('10900203', '¿×ÉËÁ¢', '15719651884', 'kongshangli@stu.kust.edu.cn', 'ÌñÔ°2548', 63, 42, 51),
